,Route,Distance,Cost,InitialLoad
200,"[0, 40.2, 9.0, 34.0, 22.0, 34.0, 13.0, 0.0]",690.9127049466549,3454.563524733275,20000
201,"[0, 40.2, 9.0, 34.0, 22.0, 34.0, 0.0]",618.9023175170393,3094.511587585196,20000
202,"[0, 40.2, 9.0, 34.0, 13.0, 2.0, 0.0]",539.153455781461,2695.7672789073054,20000
203,"[0, 40.2, 9.0, 34.0, 13.0, 0.0]",507.2086559983532,2536.043279991766,20000
204,"[0, 40.2, 9.0, 34.0, 13.0, 21.1, 2.0, 0.0]",716.7204195739452,3583.6020978697256,20000
205,"[0, 40.2, 9.0, 34.0, 13.0, 21.1, 0.0]",716.4230332639798,3582.1151663198993,20000
206,"[0, 40.2, 9.0, 34.0, 13.0, 21.2, 0.0]",716.4230332639798,3582.1151663198993,20000
207,"[0, 40.2, 9.0, 34.0, 13.0, 21.2, 2.0, 0.0]",716.7204195739452,3583.6020978697256,20000
208,"[0, 40.2, 9.0, 34.0, 13.0, 23.0, 0.0]",592.6536718792614,2963.268359396307,20000
209,"[0, 40.2, 9.0, 34.0, 23.0, 2.0, 0.0]",541.0359524840707,2705.179762420353,20000
210,"[0, 40.2, 9.0, 34.0, 23.0, 0.0]",499.58085147165605,2497.90425735828,20000
211,"[0, 40.2, 9.0, 34.0, 0.0]",435.19826856873766,2175.9913428436885,20000
212,"[0, 40.2, 9.0, 24.0, 2.0, 0.0]",596.2587892145189,2981.2939460725943,20000
213,"[0, 40.2, 9.0, 24.0, 0.0]",552.655485898272,2763.2774294913597,20000
214,"[0, 40.2, 7.0, 4.0, 0.0]",356.63338311970654,1783.1669155985328,20000
215,"[0, 40.2, 4.0, 0.0]",255.63626783765318,1278.1813391882658,20000
216,"[0, 40.2, 3.0, 2.0, 0.0]",292.2879948322585,1461.4399741612924,20000
217,"[0, 40.2, 3.0, 23.0, 0.0]",357.244429624776,1786.2221481238798,20000
218,"[0, 40.2, 3.0, 21.1, 13.0, 0.0]",463.38910741782075,2316.9455370891037,20000
219,"[0, 40.2, 3.0, 21.1, 2.0, 0.0]",418.71849552257083,2093.592477612854,20000
220,"[0, 40.2, 3.0, 21.1, 0.0]",418.42110921260553,2092.1055460630278,20000
221,"[0, 40.2, 3.0, 21.1, 34.0, 13.0, 0.0]",577.4981952309247,2887.4909761546232,20000
222,"[0, 40.2, 3.0, 21.1, 34.0, 0.0]",505.48780780130903,2527.439039006545,20000
223,"[0, 40.2, 3.0, 13.0, 2.0, 0.0]",385.5440346038756,1927.720173019378,20000
224,"[0, 40.2, 3.0, 13.0, 0.0]",353.59923482076783,1767.9961741038392,20000
225,"[0, 40.2, 3.0, 13.0, 21.1, 0.0]",562.8136120863944,2814.0680604319723,20000
226,"[0, 40.2, 3.0, 13.0, 21.2, 0.0]",562.8136120863944,2814.0680604319723,20000
227,"[0, 40.2, 3.0, 21.2, 34.0, 13.0, 0.0]",577.4981952309247,2887.4909761546232,20000
228,"[0, 40.2, 3.0, 21.2, 34.0, 0.0]",505.48780780130903,2527.439039006545,20000
229,"[0, 40.2, 3.0, 21.2, 0.0]",418.42110921260553,2092.1055460630278,20000
230,"[0, 40.2, 3.0, 21.2, 2.0, 0.0]",418.71849552257083,2093.592477612854,20000
231,"[0, 40.2, 3.0, 21.2, 13.0, 0.0]",463.38910741782075,2316.9455370891037,20000
232,"[0, 40.2, 3.0, 22.0, 2.0, 0.0]",357.0694456206691,1785.3472281033455,20000
233,"[0, 40.2, 3.0, 22.0, 13.0, 0.0]",404.79842721350127,2023.9921360675064,20000
234,"[0, 40.2, 3.0, 22.0, 0.0]",356.8375750353929,1784.1878751769646,20000
235,"[0, 40.2, 3.0, 22.0, 34.0, 2.0, 0.0]",468.97964329302124,2344.898216465106,20000
236,"[0, 40.2, 3.0, 22.0, 34.0, 13.0, 0.0]",528.7364247144322,2643.6821235721613,20000
237,"[0, 40.2, 3.0, 22.0, 34.0, 0.0]",456.7260372848167,2283.6301864240836,20000
238,"[0, 40.2, 3.0, 0.0]",283.7407594971357,1418.7037974856785,20000
239,"[0, 40.2, 3.0, 34.0, 2.0, 0.0]",322.3471301293851,1611.7356506469255,20000
240,"[0, 40.2, 3.0, 34.0, 21.2, 0.0]",455.34749099295647,2276.7374549647825,20000
241,"[0, 40.2, 3.0, 34.0, 21.2, 13.0, 0.0]",500.31548919817163,2501.577445990858,20000
242,"[0, 40.2, 3.0, 34.0, 21.1, 13.0, 0.0]",500.31548919817163,2501.577445990858,20000
243,"[0, 40.2, 3.0, 34.0, 21.1, 0.0]",455.34749099295647,2276.7374549647825,20000
244,"[0, 40.2, 3.0, 34.0, 22.0, 2.0, 0.0]",394.14098140533457,1970.7049070266728,20000
245,"[0, 40.2, 3.0, 34.0, 22.0, 13.0, 0.0]",441.8699629981667,2209.3498149908337,20000
246,"[0, 40.2, 3.0, 34.0, 22.0, 0.0]",393.90911082005834,1969.5455541002916,20000
247,"[0, 40.2, 3.0, 34.0, 22.0, 34.0, 0.0]",493.79757306948216,2468.9878653474107,20000
248,"[0, 40.2, 3.0, 34.0, 13.0, 2.0, 0.0]",414.0487113339039,2070.2435566695194,20000
249,"[0, 40.2, 3.0, 34.0, 13.0, 0.0]",382.1039115507961,1910.5195577539805,20000
250,"[0, 40.2, 3.0, 34.0, 13.0, 21.1, 0.0]",591.3182888164228,2956.591444082114,20000
251,"[0, 40.2, 3.0, 34.0, 13.0, 21.2, 0.0]",591.3182888164228,2956.591444082114,20000
252,"[0, 40.2, 3.0, 34.0, 23.0, 0.0]",374.47610702409895,1872.3805351204946,20000
253,"[0, 40.2, 3.0, 34.0, 0.0]",310.09352412118056,1550.4676206059028,20000
254,"[0, 40.2, 2.0, 0.0]",240.32650977210815,1201.6325488605407,20000
255,"[0, 40.2, 0.0]",240.27658729056395,1201.3829364528196,20000
256,"[0, 40.2, 22.0, 2.0, 0.0]",244.68572334966063,1223.4286167483033,20000
257,"[0, 40.2, 22.0, 23.0, 2.0, 0.0]",384.2005000975063,1921.0025004875315,20000
258,"[0, 40.2, 22.0, 23.0, 0.0]",342.74539908509166,1713.7269954254584,20000
259,"[0, 40.2, 22.0, 15.0, 0.0]",437.0184691600949,2185.0923458004745,20000
260,"[0, 40.2, 22.0, 13.0, 2.0, 0.0]",324.3595047256006,1621.7975236280029,20000
261,"[0, 40.2, 22.0, 13.0, 0.0]",292.4147049424928,1462.073524712464,20000
262,"[0, 40.2, 22.0, 13.0, 21.1, 0.0]",501.62908220811937,2508.1454110405966,20000
263,"[0, 40.2, 22.0, 13.0, 21.2, 0.0]",501.62908220811937,2508.1454110405966,20000
